tests/drawable.test.ts(37,1): error TS2304: Cannot find name 'afterAll'.
tests/drawable.test.ts(59,1): error TS2582: Cannot find name 'test'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
tests/drawable.test.ts(61,3): error TS2304: Cannot find name 'expect'.
tests/drawable.test.ts(63,3): error TS2304: Cannot find name 'expect'.
tests/drawable.test.ts(66,1): error TS2582: Cannot find name 'test'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
tests/drawable.test.ts(69,3): error TS2304: Cannot find name 'expect'.
tests/drawable.test.ts(72,1): error TS2582: Cannot find name 'test'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
tests/drawable.test.ts(75,3): error TS2304: Cannot find name 'expect'.
tests/drawable.test.ts(79,1): error TS2582: Cannot find name 'test'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
tests/drawable.test.ts(84,3): error TS2304: Cannot find name 'expect'.
tests/drawable.test.ts(86,3): error TS2304: Cannot find name 'expect'.
tests/drawable.test.ts(88,3): error TS2304: Cannot find name 'expect'.
tests/drawable.test.ts(90,3): error TS2304: Cannot find name 'expect'.
